Manufacturer,Type,Codename,Cu/Al strand count (no),Cu/Al strand wire diameter (mm),Steel strand count (no),Steel strand wire diameter (mm),Layer Construction,Cross sectional area (mm�),Nominal overall diameter (mm),Approximate mass (kg/m),Breaking load (kN),Modulus of elasticity (GPa),Coefficient of linear expansion (�10e-6/deg. C),DC resistance at 20 deg. C (ohm/km),AC resistance  at 50Hz 75 deg. C (ohm/km),Inductive reactance to 0.3m at 50 Hz (ohm/km),DC resistance  at 50Hz 75 deg. C (ohm/km),Geometric mean radius (mm),"Continuous current carrying capacity, Rural weathered, Winter night, Still air","Continuous current carrying capacity, Rural weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Rural weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, Still air","Continuous current carrying capacity, Rural weathered, Summer noon, 1m/s wind","Continuous current carrying capacity, Rural weathered, Summer noon, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, Still air","Continuous current carrying capacity, Industrial weathered, Winter night, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Winter night, 2m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, Still air","Continuous current carrying capacity, Industrial weathered, Summer Noon, 1m/s wind","Continuous current carrying capacity, Industrial weathered, Summer Noon, 2m/s wind"
Prysmian,ACSR/GZ,LYCHEE,30,3.25,7,3.25,30/7,307,22.8,1140,105,88,18.4,0.116,0.142,0.219,,9.38,492,758,,344,644,,562,797,,306,624,
Prysmian,ACSR/GZ,LIME,30,3.50,7,3.50,30/7,356,24.5,1320,122,88,18.4,0.100,0.123,0.214,,10.11,563,833,,380,704,,625,877,,336,682,
Prysmian,ACSR/GZ,MANGO,54,3.00,7,3.00,54/7,431,27.0,1440,119,78,19.9,0.0758,0.0967,0.209,,10.93,654,955,,438,802,,727,1007,,386,775,
Prysmian,ACSR/GZ,ORANGE,54,3.25,7,3.25,54/7,506,29.3,1690,137,78,19.9,0.0646,0.0827,0.204,,11.84,732,1058,,487,884,,816,1117,,428,853,
Prysmian,ACSR/GZ,OLIVE,54,3.50,7,3.50,54/7,587,31.5,1960,159,78,19.9,0.0557,0.0716,0.199,,12.76,813,1163,,538,967,,907,1230,,471,931,
Prysmian,ACSR/GZ,PAW_PAW,54,3.75,19,2.25,54/19,672,33.8,2240,178,77,20.0,0.0485,0.0628,0.195,,13.67,893,1265,,587,1046,,997,1341,,512,1006,
Prysmian,ACSR/GZ,PEACH,54,4.75,19,2.85,54/19,1078,42.8,3600,284,77,20.0,0.0303,0.0408,0.180,,17.31,1248,1714,,803,1389,,1399,1827,,691,1327,
Prysmian,ACSR/AC,SKATING,3,1.75,4,1.75,3/4,16.8,5.3,83,12.3,119,15.3,2.750,3.350,0.382,,0.70,59,102,,46,93,,63,105,,44,91,
Prysmian,ACSR/AC,SOCCER,3,2.50,4,2.50,3/4,34.3,7.5,171,24.9,119,15.3,1.340,1.630,0.360,,1.00,95,161,,73,144,,103,166,,68,142,
Prysmian,ACSR/AC,SWIMMING,4,3.00,3,3.00,4/3,49.5,9.0,218,28.9,106,16.5,0.807,1.050,0.334,,1.50,128,214,,96,190,,140,221,,89,186,
Prysmian,ACSR/AC,TENNIS,4,3.75,3,3.75,4/3,77.3,11.3,340,42.6,106,16.5,0.517,0.689,0.320,,1.87,171,283,,127,249,,190,293,,117,244,
Prysmian,ACSR/AC,ANGLING,6,2.50,1,2.50,6/1(<3.0mm),34.4,7.5,113,10.6,79,20.1,0.923,1.120,0.303,,2.43,114,193,,87,173,,124,199,,82,170,
Prysmian,ACSR/AC,ARCHERY,6,3.00,1,3.00,6/1(>=3.0mm),49.5,9.0,163,15.1,79,20.1,0.641,0.844,0.292,,2.92,144,240,,108,213,,157,248,,100,209,
Prysmian,ACSR/AC,BASEBALL,6,3.75,1,3.75,6/1(>=3.0mm),77.3,11.3,254,22.3,79,20.1,0.410,0.555,0.278,,3.65,195,318,,142,280,,213,330,,131,274,
Prysmian,ACSR/AC,BOWLS,6,4.75,7,1.60,6/7,120,14.3,385,32.7,76,20.6,0.259,0.356,0.263,,4.61,262,420,,187,366,,289,437,,170,358,
Prysmian,ACSR/AC,CRICKET,30,2.50,7,2.50,30/7,182,17.5,636,64.4,82,19.4,0.182,0.223,0.235,,7.22,362,563,,251,486,,401,589,,225,473,
Prysmian,ACSR/AC,DARTS,30,3.00,7,3.00,30/7,262,21.0,913,91.6,82,19.4,0.126,0.155,0.224,,8.66,470,712,,321,607,,521,746,,286,590,
Prysmian,ACSR/AC,DICE,30,3.25,7,3.25,30/7,307,22.8,1070,106,82,19.4,0.108,0.133,0.219,,9.38,525,786,,356,667,,582,825,,317,647,
Prysmian,ACSR/AC,DIVING,30,3.50,7,3.50,30/7,356,24.5,1240,122,82,19.4,0.0928,0.114,0.214,,10.11,584,865,,394,731,,649,910,,349,708,
Prysmian,ACSR/AC,GOLF,54,3.00,7,3.00,54/7,431,27.0,1380,120,75,20.6,0.0726,0.0908,0.209,,10.93,668,976,,447,820,,743,1029,,394,792,
Prysmian,ACSR/AC,GYMNASTICS,54,3.25,7,3.25,54/7,506,29.3,1620,139,75,20.6,0.0619,0.078,0.204,,11.84,748,1081,,498,903,,833,1141,,437,871,
Prysmian,ACSR/AC,HURDLES,54,3.50,7,3.50,54/7,587,31.5,1880,159,75,20.6,0.0533,0.0678,0.199,,12.76,832,1189,,550,988,,927,1258,,481,952,
Prysmian,ACSR/AC,LACROSSE,54,3.75,19,2.25,54/19,672,33.8,2150,180,74,20.7,0.0465,0.0598,0.195,,13.67,912,1292,,600,1068,,1018,1369,,523,1027,
Prysmian,ACSR/AC,RUGBY,54,4.75,19,2.85,54/19,1078,42.8,3450,288,74,20.7,0.029,0.040,0.180,,17.31,1276,1752,,821,1420,,1430,1867,,705,1357,
Prysmian,AACSR/GZ,APPLE_1120,6,3.00,1,3.00,6/1(>=3.0mm),49.5,9.0,171,18.3,83,19.3,0.700,0.928,0.292,,2.92,138,229,,103,204,,150,237,,96,200,
Prysmian,AACSR/GZ,BANANA_1120,6,3.75,1,3.75,6/1(>=3.0mm),77.3,11.3,268,27.9,83,19.3,0.448,0.620,0.278,,3.65,186,304,,136,268,,204,315,,125,262,
Prysmian,AACSR/GZ,CHERRY_1120,6,4.75,7,1.60,6/7,120,14.3,402,40.7,80,19.9,0.279,0.413,0.263,,4.61,253,405,,180,353,,278,421,,163,345,
Prysmian,AACSR/GZ,GRAPE_1120,30,2.50,7,2.50,30/7,182,17.5,677,74.4,88,18.4,0.203,0.249,0.235,,7.22,343,533,,238,460,,379,557,,213,448,
Prysmian,AACSR/GZ,LEMON_1120,30,3.00,7,3.00,30/7,262,21.0,973,107,88,18.4,0.141,0.173,0.224,,8.66,444,673,,304,574,,492,405,,271,557,
Prysmian,AACSR/GZ,LYCHEE_1120,30,3.25,7,3.25,30/7,307,22.8,1140,126,88,18.4,0.120,0.147,0.219,,9.38,514,745,,338,633,,552,783,,300,614,
Prysmian,AACSR/GZ,LIME_1120,30,3.50,7,3.50,30/7,356,24.5,1320,143,88,18.4,0.104,0.128,0.214,,10.11,552,817,,372,691,,613,860,,330,669,
Prysmian,AACSR/GZ,MANGO_1120,54,3.00,7,3.00,54/7,431,27.0,1440,149,78,19.9,0.0784,0.0997,0.209,,10.93,643,939,,430,789,,715,990,,379,762,
Prysmian,AACSR/GZ,ORANGE_1120,54,3.25,7,3.25,54/7,506,29.3,1690,174,78,19.9,0.0669,0.0854,0.204,,11.84,720,1040,,479,868,,801,1098,,420,838,
Prysmian,AACSR/GZ,OLIVE_1120,54,3.50,7,3.50,54/7,587,31.5,1960,197,78,19.9,0.0578,0.0741,0.199,,12.76,799,1142,,528,949,,890,1208,,462,914,
Prysmian,AACSR/AC,ARCHERY_1120,6,3.00,1,3.00,6/1(>=3.0mm),49.5,9.0,163,18.4,79,20.1,0.662,0.833,0.292,,2.92,142,236,,106,210,,154,244,,99,206,
Prysmian,AACSR/AC,BASEBALL_1120,6,3.75,1,3.75,6/1(>=3.0mm),77.3,11.3,254,27.6,79,20.1,0.424,0.539,0.278,,3.65,191,313,,140,275,,209,324,,129,270,
Prysmian,AACSR/AC,BOWLS_1120,6,4.75,7,1.60,6/7,120,14.3,385,40.0,76,20.6,0.267,0.346,0.263,,4.61,258,414,,184,361,,285,431,,167,352,
Prysmian,AACSR/AC,CRICKET_1120,30,2.50,7,2.50,30/7,182,17.5,636,75.2,82,19.4,0.188,0.231,0.235,,7.22,357,554,,247,478,,394,579,,222,465,
Prysmian,AACSR/AC,DARTS_1120,30,3.00,7,3.00,30/7,262,21.0,913,108,82,19.4,0.130,0.960,0.224,,8.66,463,701,,316,598,,513,735,,282,580,
Prysmian,AACSR/AC,DICE_1120,30,3.25,7,3.25,30/7,307,22.8,1070,127,82,19.4,0.111,0.137,0.219,,9.38,518,775,,352,658,,574,814,,312,638,
Prysmian,AACSR/AC,DIVING_1120,30,3.50,7,3.50,30/7,356,24.5,1240,143,82,19.4,0.0961,0.1180,0.214,,10.11,574,850,,387,719,,722,894,,343,696,
Prysmian,AACSR/AC,GOLF_1120,54,3.00,7,3.00,54/7,431,27.0,1380,150,75,20.6,0.0750,0.0937,0.209,,10.93,657,960,,440,807,,731,1012,,388,779,
Prysmian,AACSR/AC,GYMNASTICS_1120,54,3.25,7,3.25,54/7,506,29.3,1620,176,75,20.6,0.0639,0.0801,0.204,,11.84,736,1064,,490,889,,820,1123,,430,862,
Prysmian,AACSR/AC,HURDLES_1120,54,3.50,7,3.50,54/7,587,31.5,1880,197,75,20.6,0.0552,0.0697,0.199,,12.76,817,1169,,540,971,,911,1236,,473,935,
Prysmian,HDCU,7100HDCU,7,1.00,,,,5.5,3.00,49.3,2.32,120,17,3.250,3.930,0.354,,1.09,46,84,,38,77,,49,86,,36,76,
Prysmian,HDCU,7125HDCU,7,1.25,,,,8.6,3.75,76.9,3.59,120,17,2.090,2.530,0.340,,1.36,62,111,,50,101,,67,113,,48,100,
Prysmian,HDCU,7175HDCU,7,1.75,,,,17,5.25,151,6.89,120,17,1.060,1.280,0.319,,1.90,98,170,,77,154,,105,174,,73,152,
Prysmian,HDCU,7200HDCU,7,2.00,,,,22,6.00,197,8.89,120,17,0.815,0.986,0.311,,2.18,117,201,,91,181,,126,206,,86,178,
Prysmian,HDCU,7275HDCU,7,2.75,,,,42,8.25,375,16.2,120,17,0.433,0.524,0.291,,2.99,179,299,,135,267,,194,309,,126,262,
Prysmian,HDCU,7350HDCU,7,3.50,,,,67,10.5,607,25.4,120,17,0.268,0.325,0.275,,3.81,247,405,,182,258,,270,419,,168,351,
Prysmian,HDCU,7375HDCU,7,3.75,,,,77.28,11.3,696,28.8,120,17,0.233,0.283,0.271,,4.08,272,444,,200,392,,298,460,,184,384,
Prysmian,HDCU,19175HDCU,19,1.75,,,,46,8.75,413,18.3,118,17,0.395,0.479,0.284,,3.31,191,318,,143,283,,208,328,,133,278,
Prysmian,HDCU,19200HDCU,19,2.00,,,,60,10.0,538,23.6,118,17,0.303,0.367,0.276,,3.79,228,376,,169,333,,249,389,,156,327,
Prysmian,HDCU,19275HDCU,19,2.75,,,,113,13.8,1020,43.1,118,17,0.160,0.194,0.256,,5.21,351,563,,251,492,,386,586,,228,480,
Prysmian,HDCU,19300HDCU,19,3.00,,,,134,15.0,1210,50.8,118,17,0.134,0.163,0.250,,5.68,396,630,,280,548,,437,656,,253,534,
Prysmian,HDCU,37175HDCU,37,1.75,,,,89,12.3,806,35.6,117,17,0.203,0.247,0.262,,4.70,299,485,,217,426,,328,503,,198,416,
Prysmian,HDCU,37225HDCU,37,2.25,,,,147,15.8,1331,57.6,117,17,0.123,0.150,0.246,,6.05,422,666,,295,578,,466,695,,266,563,
Prysmian,HDCU,37250HDCU,37,2.50,,,,182,17.5,1640,70.3,117,17,0.0996,0.1220,0.240,,6.72,490,762,,340,657,,542,796,,305,640,
Prysmian,HDCU,37275HDCU,37,2.75,,,,220,19.3,1990,83.9,117,17,0.0823,0.1010,0.234,,7.39,561,860,,386,738,,621,900,,345,717,
Prysmian,HDCU,37300HDCU,37,3.00,,,,262,21.0,2370,98.9,117,17,0.0691,0.0857,0.228,,8.06,635,961,,434,820,,703,1008,,387,796,
Prysmian,HDCU,61275HDCU,61,2.75,,,,362,24.8,3280,138,117,17,0.0500,0.0632,0.218,,9.56,799,1182,,539,999,,888,1244,,477,967,
